date,Country Code,ziyaretci_sayisi
2023-04,CPV,80
2023-07,CPV,60
2019-01,DZA,62659
2019-04,DZA,58578
2019-07,DZA,91191
2019-10,DZA,62976
2020-01,DZA,44248
2020-04,DZA,69
2020-07,DZA,1941
2020-10,DZA,2912
2021-01,DZA,2244
2021-04,DZA,4104
2021-07,DZA,13503
2021-10,DZA,26700
2022-01,DZA,30023
2022-04,DZA,31842
2022-07,DZA,66820
2022-10,DZA,65191
2023-01,DZA,55051
2023-04,DZA,52797
2023-07,DZA,91419
2023-10,DZA,76894
2024-01,DZA,66453
2024-04,DZA,66095
2024-07,DZA,28170
2022-01,DJI,1160
2022-04,DJI,1083
2022-07,DJI,2215
2022-10,DJI,892
2023-01,DJI,761
2023-04,DJI,848
2023-07,DJI,1298
2023-10,DJI,615
2024-01,DJI,585
2024-04,DJI,560
2024-07,DJI,340
2019-01,DNK,17819
2019-04,DNK,23906
2019-07,DNK,25967
2019-10,DNK,20867
2020-01,DNK,13857
2020-04,DNK,595
2020-07,DNK,7012
2020-10,DNK,6407
2021-04,DNK,6367
2021-07,DNK,21168
2021-10,DNK,18310
2022-01,DNK,15311
2022-04,DNK,21213
2022-07,DNK,23607
2022-10,DNK,18611
2023-01,DNK,15751
2023-04,DNK,19238
2023-07,DNK,21167
2023-10,DNK,19507
2024-01,DNK,19370
2024-04,DNK,20492
2024-07,DNK,10870
2022-01,DOM,519
2022-04,DOM,993
2022-07,DOM,1222
2022-10,DOM,1357
2023-01,DOM,869
2023-04,DOM,1254
2023-07,DOM,1181
2023-10,DOM,956
2024-01,DOM,824
2024-04,DOM,1052
2024-07,DOM,323
2022-01,DMA,1565
2022-04,DMA,1596
2022-07,DMA,3425
2022-10,DMA,1817
2023-01,DMA,1278
2023-04,DMA,2207
2023-07,DMA,3630
2023-10,DMA,2007
2024-01,DMA,889
2024-04,DMA,771
2024-07,DMA,387
2019-04,ECU,571
2020-04,ECU,3
2022-01,ECU,1536
2022-04,ECU,3963
2022-07,ECU,3845
2022-10,ECU,4571
2023-01,ECU,1979
2023-04,ECU,3813
2023-07,ECU,4296
2023-10,ECU,3216
2024-01,ECU,2169
2024-04,ECU,3710
2024-07,ECU,965
2022-01,GNQ,135
2022-04,GNQ,214
2022-07,GNQ,251
2022-10,GNQ,288
2023-01,GNQ,108
2023-04,GNQ,152
2023-07,GNQ,171
2023-10,GNQ,149
2024-01,GNQ,140
2024-04,GNQ,125
2024-07,GNQ,69
2022-01,SLV,218
2022-04,SLV,352
2022-07,SLV,468
2022-10,SLV,488
2023-01,SLV,345
2023-04,SLV,441
2023-07,SLV,566
2023-10,SLV,495
2024-01,SLV,302
2024-04,SLV,436
2024-07,SLV,178
2019-01,IDN,37724
2019-04,IDN,9546
2019-07,IDN,10671
2019-10,IDN,35898
2020-01,IDN,27371
2020-04,IDN,106
2020-07,IDN,2541
2020-10,IDN,7536
2021-01,IDN,7795
2021-04,IDN,8674
2021-07,IDN,4191
2021-10,IDN,18238
2022-01,IDN,17812
2022-04,IDN,39523
2022-07,IDN,31299
2022-10,IDN,54836
2023-01,IDN,58582
2023-04,IDN,31819
2023-07,IDN,25583
2023-10,IDN,49867
2024-01,IDN,52490
2024-04,IDN,42226
2024-07,IDN,9915
2022-01,ERI,2450
2022-04,ERI,3035
2022-07,ERI,2367
2022-10,ERI,3099
2023-01,ERI,2561
2023-04,ERI,2738
2023-07,ERI,2827
2023-10,ERI,3377
2024-01,ERI,2549
2024-04,ERI,2324
2024-07,ERI,890
2022-01,ARM,2444
2022-04,ARM,3191
2022-07,ARM,3939
2022-10,ARM,3586
2023-01,ARM,2982
2023-04,ARM,2891
2023-07,ARM,5202
2023-10,ARM,3648
2024-01,ARM,3877
2024-04,ARM,3738
2024-07,ARM,1706
2022-01,EST,2149
2022-04,EST,2991
2022-07,EST,3024
2022-10,EST,3611
2023-01,EST,4265
2023-04,EST,4159
2023-07,EST,3266
2023-10,EST,4797
2024-01,EST,5131
2024-04,EST,4772
2024-07,EST,1024
2019-04,ETH,1343
2019-07,ETH,2137
2019-10,ETH,6400
2020-04,ETH,2
2020-07,ETH,1669
2020-10,ETH,5801
2021-01,ETH,7912
2021-04,ETH,11187
2021-07,ETH,14273
2021-10,ETH,9255
2022-01,ETH,5329
2022-04,ETH,6537
2022-07,ETH,7054
2022-10,ETH,6081
2023-01,ETH,5794
2023-04,ETH,6484
2023-07,ETH,7649
2023-10,ETH,5557
2024-01,ETH,5150
2024-04,ETH,5967
2024-07,ETH,2471
2019-01,MAR,43108
2019-04,MAR,44174
2019-07,MAR,74676
2019-10,MAR,53906
2020-01,MAR,39593
2020-04,MAR,247
2020-07,MAR,10532
2020-10,MAR,14942
2021-01,MAR,9492
2021-04,MAR,10212
2021-07,MAR,44482
2021-10,MAR,49277
2022-01,MAR,37491
2022-04,MAR,48643
2022-07,MAR,79035
2022-10,MAR,68380
2023-01,MAR,48571
2023-04,MAR,59275
2023-07,MAR,80133
2023-10,MAR,57569
2024-01,MAR,44661
2024-04,MAR,55671
2024-07,MAR,21040
2022-01,FJI,41
2022-04,FJI,36
2022-07,FJI,51
2022-10,FJI,44
2023-01,FJI,41
2023-04,FJI,65
2023-07,FJI,90
2023-10,FJI,86
2024-01,FJI,55
2024-04,FJI,62
2024-07,FJI,35
2019-04,CIV,270
2020-04,CIV,2
2022-01,CIV,2004
2022-04,CIV,2078
2022-07,CIV,2394
2022-10,CIV,2607
2023-01,CIV,1739
2023-04,CIV,1541
2023-07,CIV,2061
2023-10,CIV,1904
2024-01,CIV,1115
2024-04,CIV,1507
2024-07,CIV,515
2019-04,PHL,14785
2019-07,PHL,15411
2019-10,PHL,13819
2020-04,PHL,753
2020-07,PHL,8758
2020-10,PHL,6489
2021-01,PHL,4643
2021-04,PHL,8150
2021-07,PHL,8362
2022-01,PHL,8897
2022-04,PHL,15222
2022-07,PHL,19626
2022-10,PHL,17108
2023-01,PHL,12169
2023-04,PHL,18974
2023-07,PHL,19866
2023-10,PHL,15817
2024-01,PHL,13060
2024-04,PHL,20054
2024-07,PHL,7896
2019-04,PSE,8335
2019-07,PSE,5919
2019-10,PSE,13520
2020-04,PSE,99
2020-07,PSE,1261
2020-10,PSE,5075
2021-01,PSE,4866
2021-04,PSE,7391
2021-07,PSE,21691
2021-10,PSE,18007
2022-01,PSE,10889
2022-04,PSE,15055
2022-07,PSE,30934
2022-10,PSE,16828
2023-01,PSE,10185
2023-04,PSE,13838
2023-07,PSE,23663
2023-10,PSE,7261
2024-01,PSE,6495
2024-04,PSE,10662
2024-07,PSE,4946
2019-07,FIN,2448
2020-07,FIN,667
2022-01,FIN,4173
2022-04,FIN,7301
2022-07,FIN,7132
2022-10,FIN,7284
2023-01,FIN,6363
2023-04,FIN,7875
2023-07,FIN,9001
2023-10,FIN,8676
2024-01,FIN,8217
2024-04,FIN,10231
2024-07,FIN,3265
2019-01,FRA,98261
2019-04,FRA,132777
2019-07,FRA,156725
2019-10,FRA,120906
2020-01,FRA,83507
2020-04,FRA,3586
2020-07,FRA,71104
2020-10,FRA,68453
2021-01,FRA,38497
2021-04,FRA,57016
2021-07,FRA,156727
2021-10,FRA,127360
2022-01,FRA,110715
2022-04,FRA,143301
2022-07,FRA,172839
2022-10,FRA,140620
2023-01,FRA,114471
2023-04,FRA,145665
2023-07,FRA,177660
2023-10,FRA,151353
2024-01,FRA,125384
2024-04,FRA,176905
2024-07,FRA,71506
2022-01,GAB,1280
2022-04,GAB,1435
2022-07,GAB,1858
2022-10,GAB,1595
2023-01,GAB,982
2023-04,GAB,903
2023-07,GAB,1194
2023-10,GAB,861
2024-01,GAB,691
2024-04,GAB,784
2024-07,GAB,423
2019-04,GMB,130
2020-04,GMB,2
2022-01,GMB,576
2022-04,GMB,668
2022-07,GMB,618
2022-10,GMB,598
2023-01,GMB,502
2023-04,GMB,389
2023-07,GMB,614
2023-10,GMB,509
2024-01,GMB,385
2024-04,GMB,380
2024-07,GMB,140
2022-01,GHA,1599
2022-04,GHA,1818
2022-07,GHA,1281
2022-10,GHA,1163
2023-01,GHA,1021
2023-04,GHA,1050
2023-07,GHA,1382
2023-10,GHA,1250
2024-01,GHA,1032
2024-04,GHA,1188
2024-07,GHA,423
2022-01,GIN,1142
2022-04,GIN,1104
2022-07,GIN,1441
2022-10,GIN,1734
2023-01,GIN,1540
2023-04,GIN,1090
2023-07,GIN,1486
2023-10,GIN,1276
2024-01,GIN,811
2024-04,GIN,889
2024-07,GIN,374
2022-01,GRD,114
2022-04,GRD,114
2022-07,GRD,254
2022-10,GRD,146
2023-01,GRD,118
2023-04,GRD,162
2023-07,GRD,274
2023-10,GRD,152
2024-01,GRD,106
2024-04,GRD,191
2024-07,GRD,117
2022-01,GTM,436
2022-04,GTM,889
2022-07,GTM,921
2022-10,GTM,1353
2023-01,GTM,536
2023-04,GTM,1272
2023-07,GTM,957
2023-10,GTM,1435
2024-01,GTM,609
2024-04,GTM,1140
2024-07,GTM,276
2022-01,GUY,5
2022-04,GUY,13
2022-07,GUY,27
2022-10,GUY,30
2023-01,GUY,13
2023-04,GUY,22
2023-07,GUY,24
2023-10,GUY,11
2024-01,GUY,16
2024-04,GUY,27
2024-07,GUY,6
2019-04,ZAF,3578
2020-04,ZAF,3
2022-01,ZAF,8689
2022-04,ZAF,15994
2022-07,ZAF,21824
2022-10,ZAF,17524
2023-01,ZAF,9351
2023-04,ZAF,15421
2023-07,ZAF,17701
2023-10,ZAF,14428
2024-01,ZAF,8470
2024-04,ZAF,16692
2024-07,ZAF,5357
2019-01,KOR,29025
2019-04,KOR,47708
2020-01,KOR,29839
2020-04,KOR,317
2022-01,KOR,7015
2022-04,KOR,21058
2022-07,KOR,28815
2022-10,KOR,29273
2023-01,KOR,28967
2023-04,KOR,30704
2023-07,KOR,41435
2023-10,KOR,38005
2024-01,KOR,38654
2024-04,KOR,49475
2024-07,KOR,16186
2022-01,SSD,136
2022-04,SSD,161
2022-07,SSD,355
2022-10,SSD,454
2023-01,SSD,301
2023-04,SSD,339
2023-07,SSD,370
2023-10,SSD,311
2024-01,SSD,167
2024-04,SSD,173
2024-07,SSD,67
2019-01,GEO,15664
2019-04,GEO,14950
2019-07,GEO,14544
2019-10,GEO,14909
2020-01,GEO,11558
2020-04,GEO,424
2020-07,GEO,7819
2020-10,GEO,7817
2021-01,GEO,6459
2021-04,GEO,11533
2021-07,GEO,17321
2021-10,GEO,21727
2022-01,GEO,18619
2022-04,GEO,22622
2022-07,GEO,20417
2022-10,GEO,24425
2023-01,GEO,20389
2023-04,GEO,22459
2023-07,GEO,21663
2023-10,GEO,25432
2024-01,GEO,25713
2024-04,GEO,28678
2024-07,GEO,8599
2022-01,HTI,1198
2022-04,HTI,478
2022-07,HTI,407
2022-10,HTI,312
2023-01,HTI,225
2023-04,HTI,259
2023-07,HTI,226
2023-10,HTI,201
2024-01,HTI,57
2024-04,HTI,49
2024-07,HTI,14
2019-01,IND,27430
2019-04,IND,61810
2019-07,IND,44752
2019-10,IND,49509
2020-01,IND,21561
2020-04,IND,572
2020-07,IND,4698
2020-10,IND,4806
2021-01,IND,5552
2021-04,IND,5710
2021-07,IND,11010
2021-10,IND,20818
2022-01,IND,18727
2022-04,IND,55350
2022-07,IND,59031
2022-10,IND,67436
2023-01,IND,35111
2023-04,IND,64960
2023-07,IND,61184
2023-10,IND,62465
2024-01,IND,43158
2024-04,IND,93716
2024-07,IND,22075
2019-01,NLD,65893
2019-04,NLD,70312
2019-07,NLD,90982
2019-10,NLD,67264
2020-01,NLD,53645
2020-04,NLD,5541
2020-07,NLD,45416
2020-10,NLD,39521
2021-01,NLD,28247
2021-04,NLD,38668
2021-07,NLD,102821
2021-10,NLD,87195
2022-01,NLD,80076
2022-04,NLD,86691
2022-07,NLD,100296
2022-10,NLD,69993
2023-01,NLD,65955
2023-04,NLD,78214
2023-07,NLD,103815
2023-10,NLD,84024
2024-01,NLD,77127
2024-04,NLD,92408
2024-07,NLD,47661
2022-01,HND,257
2022-04,HND,454
2022-07,HND,683
2022-10,HND,703
2023-01,HND,460
2023-04,HND,749
