tarih,havalimani,hat,yolcu_sayisi
2023-05-01,Rize-Artvin,İç,89620
2023-05-01,Samsun Çarşamba,İç,115147
2023-05-01,Siirt,İç,5132
2023-05-01,Sinop,İç,9024
2023-05-01,Sivas,İç,40574
2023-05-01,Tekirdağ Çorlu,İç,4279
2023-05-01,Tokat,İç,12889
2023-05-01,Trabzon,İç,231485
2023-05-01,Uşak,İç,0
2023-05-01,Van,İç,133753
2023-05-01,Zafer,İç,3502
2023-05-01,Zonguldak Çaycuma,İç,3582
2023-05-01,Çanakkale,İç,18130
2023-05-01,İstanbul,İç,1739670
2023-05-01,İstanbul Atatürk,İç,0
2023-05-01,İstanbul Sabiha Gökçen,İç,1483893
2023-05-01,İzmir Adnan Menderes,İç,564728
2023-05-01,Şanlıurfa GAP,İç,80672
2023-05-01,Şırnak,İç,36838
2023-04-01,Adana,İç,323066
2023-04-01,Adıyaman,İç,36132
2023-04-01,Alanya Gazipaşa,İç,36848
2023-04-01,Amasya Merzifon,İç,9421
2023-04-01,Ankara Esenboğa,İç,734396
2023-04-01,Antalya,İç,457576
2023-04-01,Aydın,İç,0
2023-04-01,Ağrı,İç,26268
2023-04-01,Balıkesir Edremit,İç,16449
2023-04-01,Balıkesir Merkez,İç,0
2023-04-01,Batman,İç,45177
2023-04-01,Bingöl,İç,13768
2023-04-01,Bursa Yenişehir,İç,13180
2023-04-01,Denizli Çardak,İç,32992
2023-04-01,Diyarbakır,İç,166004
2023-04-01,Elazığ,İç,41801
2023-04-01,Erzincan,İç,28623
2023-04-01,Erzurum,İç,70526
2023-04-01,Eskişehir,İç,0
2023-04-01,Gaziantep,İç,189157
2023-04-01,Gökçeada,İç,0
2023-04-01,Hakkari Yüksekova,İç,15410
2023-04-01,Hatay,İç,2106
2023-04-01,Isparta,İç,5346
2023-04-01,Iğdır,İç,27779
2023-04-01,Kahramanmaraş,İç,30411
2023-04-01,Kars,İç,36561
2023-04-01,Kastamonu,İç,4199
2023-04-01,Kayseri,İç,155076
2023-04-01,Kocaeli,İç,0
2023-04-01,Konya,İç,54730
2023-04-01,Malatya,İç,67873
2023-04-01,Mardin,İç,53398
2023-04-01,Muğla Dalaman,İç,110486
2023-04-01,Muğla Milas-Bodrum,İç,135495
2023-04-01,Muş,İç,38487
2023-04-01,Nevşehir Kapadokya,İç,48526
2023-04-01,Ordu-Giresun,İç,75840
2023-04-01,Rize-Artvin,İç,70507
2023-04-01,Samsun Çarşamba,İç,98600
2023-04-01,Siirt,İç,3520
2023-04-01,Sinop,İç,7649
2023-04-01,Sivas,İç,33842
2023-04-01,Tekirdağ Çorlu,İç,2666
2023-04-01,Tokat,İç,11504
2023-04-01,Trabzon,İç,181945
2023-04-01,Uşak,İç,0
2023-04-01,Van,İç,122685
2023-04-01,Zafer,İç,3099
2023-04-01,Zonguldak Çaycuma,İç,2623
2023-04-01,Çanakkale,İç,8579
2023-04-01,İstanbul,İç,1493559
2023-04-01,İstanbul Atatürk,İç,0
2023-04-01,İstanbul Sabiha Gökçen,İç,1265787
2023-04-01,İzmir Adnan Menderes,İç,542270
2023-04-01,Şanlıurfa GAP,İç,74377
2023-04-01,Şırnak,İç,34754
2023-03-01,Adana,İç,309678
2023-03-01,Adıyaman,İç,2688
2023-03-01,Alanya Gazipaşa,İç,37164
2023-03-01,Amasya Merzifon,İç,9578
2023-03-01,Ankara Esenboğa,İç,686568
2023-03-01,Antalya,İç,423343
2023-03-01,Aydın,İç,0
2023-03-01,Ağrı,İç,23222
2023-03-01,Balıkesir Edremit,İç,10683
2023-03-01,Balıkesir Merkez,İç,0
2023-03-01,Batman,İç,40700
2023-03-01,Bingöl,İç,11057
2023-03-01,Bursa Yenişehir,İç,12672
2023-03-01,Denizli Çardak,İç,30589
2023-03-01,Diyarbakır,İç,151254
2023-03-01,Elazığ,İç,64215
2023-03-01,Erzincan,İç,21903
2023-03-01,Erzurum,İç,78318
2023-03-01,Eskişehir,İç,0
2023-03-01,Gaziantep,İç,181741
2023-03-01,Gökçeada,İç,0
2023-03-01,Hakkari Yüksekova,İç,15044
2023-03-01,Hatay,İç,0
2023-03-01,Isparta,İç,4259
2023-03-01,Iğdır,İç,25461
2023-03-01,Kahramanmaraş,İç,31766
2023-03-01,Kars,İç,40322
2023-03-01,Kastamonu,İç,4108
2023-03-01,Kayseri,İç,128091
2023-03-01,Kocaeli,İç,0
2023-03-01,Konya,İç,55510
2023-03-01,Malatya,İç,69689
2023-03-01,Mardin,İç,50714
2023-03-01,Muğla Dalaman,İç,73929
2023-03-01,Muğla Milas-Bodrum,İç,93397
2023-03-01,Muş,İç,29538
2023-03-01,Nevşehir Kapadokya,İç,27811
2023-03-01,Ordu-Giresun,İç,66122
2023-03-01,Rize-Artvin,İç,57186
2023-03-01,Samsun Çarşamba,İç,93199
2023-03-01,Siirt,İç,3110
2023-03-01,Sinop,İç,6512
2023-03-01,Sivas,İç,30562
2023-03-01,Tekirdağ Çorlu,İç,2652
2023-03-01,Tokat,İç,10467
2023-03-01,Trabzon,İç,161813
2023-03-01,Uşak,İç,0
2023-03-01,Van,İç,127222
2023-03-01,Zafer,İç,2675
2023-03-01,Zonguldak Çaycuma,İç,1578
2023-03-01,Çanakkale,İç,7728
2023-03-01,İstanbul,İç,1222298
2023-03-01,İstanbul Atatürk,İç,0
2023-03-01,İstanbul Sabiha Gökçen,İç,1236088
2023-03-01,İzmir Adnan Menderes,İç,514674
2023-03-01,Şanlıurfa GAP,İç,67311
2023-03-01,Şırnak,İç,27092
2023-02-01,Adana,İç,202071
2023-02-01,Adıyaman,İç,2679
2023-02-01,Alanya Gazipaşa,İç,25288
2023-02-01,Amasya Merzifon,İç,8381
2023-02-01,Ankara Esenboğa,İç,582781
2023-02-01,Antalya,İç,369205
2023-02-01,Aydın,İç,0
2023-02-01,Ağrı,İç,22308
2023-02-01,Balıkesir Edremit,İç,7068
2023-02-01,Balıkesir Merkez,İç,0
2023-02-01,Batman,İç,42389
2023-02-01,Bingöl,İç,12558
2023-02-01,Bursa Yenişehir,İç,13861
2023-02-01,Denizli Çardak,İç,33266
2023-02-01,Diyarbakır,İç,110817
2023-02-01,Elazığ,İç,57554
2023-02-01,Erzincan,İç,22760
2023-02-01,Erzurum,İç,80773
2023-02-01,Eskişehir,İç,0
2023-02-01,Gaziantep,İç,103899
2023-02-01,Gökçeada,İç,0
2023-02-01,Hakkari Yüksekova,İç,4181
2023-02-01,Hatay,İç,16187
2023-02-01,Isparta,İç,4062
2023-02-01,Iğdır,İç,21820
2023-02-01,Kahramanmaraş,İç,2338
2023-02-01,Kars,İç,41607
2023-02-01,Kastamonu,İç,4049
2023-02-01,Kayseri,İç,114665
2023-02-01,Kocaeli,İç,0
2023-02-01,Konya,İç,45422
2023-02-01,Malatya,İç,12057
2023-02-01,Mardin,İç,55611
2023-02-01,Muğla Dalaman,İç,59757
2023-02-01,Muğla Milas-Bodrum,İç,71644
2023-02-01,Muş,İç,28542
2023-02-01,Nevşehir Kapadokya,İç,22633
2023-02-01,Ordu-Giresun,İç,59044
2023-02-01,Rize-Artvin,İç,55997
2023-02-01,Samsun Çarşamba,İç,82766
2023-02-01,Siirt,İç,4309
2023-02-01,Sinop,İç,5844
2023-02-01,Sivas,İç,26874
2023-02-01,Tekirdağ Çorlu,İç,2707
2023-02-01,Tokat,İç,9329
2023-02-01,Trabzon,İç,153901
2023-02-01,Uşak,İç,0
2023-02-01,Van,İç,119574
2023-02-01,Zafer,İç,2386
2023-02-01,Zonguldak Çaycuma,İç,2668
2023-02-01,Çanakkale,İç,7457
2023-02-01,İstanbul,İç,1178386
2023-02-01,İstanbul Atatürk,İç,0
2023-02-01,İstanbul Sabiha Gökçen,İç,1123794
2023-02-01,İzmir Adnan Menderes,İç,455907
2023-02-01,Şanlıurfa GAP,İç,93272
2023-02-01,Şırnak,İç,26299
2023-01-01,Adana,İç,287725
2023-01-01,Adıyaman,İç,21072
2023-01-01,Alanya Gazipaşa,İç,33310
2023-01-01,Amasya Merzifon,İç,8545
2023-01-01,Ankara Esenboğa,İç,729285
2023-01-01,Antalya,İç,451531
2023-01-01,Aydın,İç,0
2023-01-01,Ağrı,İç,25876
2023-01-01,Balıkesir Edremit,İç,8763
2023-01-01,Balıkesir Merkez,İç,0
2023-01-01,Batman,İç,45034
2023-01-01,Bingöl,İç,14222
2023-01-01,Bursa Yenişehir,İç,14282
2023-01-01,Denizli Çardak,İç,33266
2023-01-01,Diyarbakır,İç,151217
2023-01-01,Elazığ,İç,60964
2023-01-01,Erzincan,İç,30335
2023-01-01,Erzurum,İç,97269
2023-01-01,Eskişehir,İç,0
2023-01-01,Gaziantep,İç,173455
2023-01-01,Gökçeada,İç,0
2023-01-01,Hakkari Yüksekova,İç,9279
2023-01-01,Hatay,İç,85279
2023-01-01,Isparta,İç,4650
2023-01-01,Iğdır,İç,24497
2023-01-01,Kahramanmaraş,İç,14543
2023-01-01,Kars,İç,46122
2023-01-01,Kastamonu,İç,4300
2023-01-01,Kayseri,İç,148076
2023-01-01,Kocaeli,İç,0
2023-01-01,Konya,İç,57581
2023-01-01,Malatya,İç,62220
2023-01-01,Mardin,İç,56295
2023-01-01,Muğla Dalaman,İç,69660
2023-01-01,Muğla Milas-Bodrum,İç,88685
2023-01-01,Muş,İç,32931
2023-01-01,Nevşehir Kapadokya,İç,28307
2023-01-01,Ordu-Giresun,İç,75128
2023-01-01,Rize-Artvin,İç,71983
2023-01-01,Samsun Çarşamba,İç,99496
2023-01-01,Siirt,İç,4042
2023-01-01,Sinop,İç,7098
2023-01-01,Sivas,İç,33741
2023-01-01,Tekirdağ Çorlu,İç,2281
2023-01-01,Tokat,İç,9578
2023-01-01,Trabzon,İç,195347
2023-01-01,Uşak,İç,0
2023-01-01,Van,İç,129960
2023-01-01,Zafer,İç,3080
2023-01-01,Zonguldak Çaycuma,İç,1204
2023-01-01,Çanakkale,İç,8698
2023-01-01,İstanbul,İç,1218237
2023-01-01,İstanbul Atatürk,İç,0
2023-01-01,İstanbul Sabiha Gökçen,İç,1352716
2023-01-01,İzmir Adnan Menderes,İç,535866
2023-01-01,Şanlıurfa GAP,İç,62776
2023-01-01,Şırnak,İç,29273
2022-12-01,Adana,İç,264236
2022-12-01,Adıyaman,İç,14838
2022-12-01,Alanya Gazipaşa,İç,28797
2022-12-01,Amasya Merzifon,İç,6181
2022-12-01,Ankara Esenboğa,İç,604989
2022-12-01,Antalya,İç,405120
2022-12-01,Aydın,İç,0
2022-12-01,Ağrı,İç,22791
2022-12-01,Balıkesir Edremit,İç,7523
2022-12-01,Balıkesir Merkez,İç,0
2022-12-01,Batman,İç,37024
2022-12-01,Bingöl,İç,12249
2022-12-01,Bursa Yenişehir,İç,7858
2022-12-01,Denizli Çardak,İç,28110
2022-12-01,Diyarbakır,İç,127315
2022-12-01,Elazığ,İç,53112
2022-12-01,Erzincan,İç,21478
2022-12-01,Erzurum,İç,75775
2022-12-01,Eskişehir,İç,0
2022-12-01,Gaziantep,İç,163091
2022-12-01,Gökçeada,İç,0
2022-12-01,Hakkari Yüksekova,İç,9382
2022-12-01,Hatay,İç,69702
2022-12-01,Isparta,İç,3191
2022-12-01,Iğdır,İç,12850
2022-12-01,Kahramanmaraş,İç,12879
2022-12-01,Kars,İç,37790
2022-12-01,Kastamonu,İç,1944
2022-12-01,Kayseri,İç,133305
2022-12-01,Kocaeli,İç,103
2022-12-01,Konya,İç,52248
2022-12-01,Malatya,İç,53070
2022-12-01,Mardin,İç,47442
2022-12-01,Muğla Dalaman,İç,59586
2022-12-01,Muğla Milas-Bodrum,İç,81063
2022-12-01,Muş,İç,25508
2022-12-01,Nevşehir Kapadokya,İç,32653
2022-12-01,Ordu-Giresun,İç,60300
2022-12-01,Rize-Artvin,İç,84221
2022-12-01,Samsun Çarşamba,İç,88300
2022-12-01,Siirt,İç,2860
2022-12-01,Sinop,İç,5415
2022-12-01,Sivas,İç,25220
2022-12-01,Tekirdağ Çorlu,İç,2236
2022-12-01,Tokat,İç,10040
2022-12-01,Trabzon,İç,190953
2022-12-01,Uşak,İç,0
2022-12-01,Van,İç,116810
2022-12-01,Zafer,İç,2409
2022-12-01,Zonguldak Çaycuma,İç,1392
2022-12-01,Çanakkale,İç,7309
2022-12-01,İstanbul,İç,1117066
2022-12-01,İstanbul Atatürk,İç,0
2022-12-01,İstanbul Sabiha Gökçen,İç,1216895
2022-12-01,İzmir Adnan Menderes,İç,483359
2022-12-01,Şanlıurfa GAP,İç,59338
2022-12-01,Şırnak,İç,21345
2022-11-01,Adana,İç,269024
2022-11-01,Adıyaman,İç,14806
2022-11-01,Alanya Gazipaşa,İç,32464
2022-11-01,Amasya Merzifon,İç,6410
2022-11-01,Ankara Esenboğa,İç,618723
2022-11-01,Antalya,İç,483965
2022-11-01,Aydın,İç,0
2022-11-01,Ağrı,İç,22910
2022-11-01,Balıkesir Edremit,İç,8936
2022-11-01,Balıkesir Merkez,İç,0
2022-11-01,Batman,İç,38103
2022-11-01,Bingöl,İç,13014
2022-11-01,Bursa Yenişehir,İç,8451
2022-11-01,Denizli Çardak,İç,30951
2022-11-01,Diyarbakır,İç,139225
2022-11-01,Elazığ,İç,54011
2022-11-01,Erzincan,İç,23172
2022-11-01,Erzurum,İç,73422
2022-11-01,Eskişehir,İç,0
2022-11-01,Gaziantep,İç,176742
2022-11-01,Gökçeada,İç,0
2022-11-01,Hakkari Yüksekova,İç,10679
2022-11-01,Hatay,İç,82044
2022-11-01,Isparta,İç,4653
2022-11-01,Iğdır,İç,17410
2022-11-01,Kahramanmaraş,İç,14262
2022-11-01,Kars,İç,38557
2022-11-01,Kastamonu,İç,4147
2022-11-01,Kayseri,İç,143016
2022-11-01,Kocaeli,İç,0
2022-11-01,Konya,İç,56850
2022-11-01,Malatya,İç,55004
2022-11-01,Mardin,İç,48055
2022-11-01,Muğla Dalaman,İç,73112
2022-11-01,Muğla Milas-Bodrum,İç,90371
2022-11-01,Muş,İç,25601
2022-11-01,Nevşehir Kapadokya,İç,35120
2022-11-01,Ordu-Giresun,İç,64404
2022-11-01,Rize-Artvin,İç,74294
2022-11-01,Samsun Çarşamba,İç,87156
2022-11-01,Siirt,İç,4617
2022-11-01,Sinop,İç,6193
2022-11-01,Sivas,İç,27794
2022-11-01,Tekirdağ Çorlu,İç,2039
2022-11-01,Tokat,İç,9924
2022-11-01,Trabzon,İç,185076
2022-11-01,Uşak,İç,0
2022-11-01,Van,İç,122190
2022-11-01,Zafer,İç,2703
2022-11-01,Zonguldak Çaycuma,İç,1600
2022-11-01,Çanakkale,İç,13611
2022-11-01,İstanbul,İç,1223445
2022-11-01,İstanbul Atatürk,İç,0
2022-11-01,İstanbul Sabiha Gökçen,İç,1263624
2022-11-01,İzmir Adnan Menderes,İç,505383
2022-11-01,Şanlıurfa GAP,İç,58036
2022-11-01,Şırnak,İç,22717
2022-10-01,Adana,İç,276598
2022-10-01,Adıyaman,İç,15791
2022-10-01,Alanya Gazipaşa,İç,39575
2022-10-01,Amasya Merzifon,İç,5493
2022-10-01,Ankara Esenboğa,İç,577326
2022-10-01,Antalya,İç,556086
2022-10-01,Aydın,İç,0
2022-10-01,Ağrı,İç,18840
2022-10-01,Balıkesir Edremit,İç,13410
2022-10-01,Balıkesir Merkez,İç,0
2022-10-01,Batman,İç,35163
2022-10-01,Bingöl,İç,12879
2022-10-01,Bursa Yenişehir,İç,8883
2022-10-01,Denizli Çardak,İç,28141
2022-10-01,Diyarbakır,İç,135796
2022-10-01,Elazığ,İç,49845
2022-10-01,Erzincan,İç,24482
2022-10-01,Erzurum,İç,68790
2022-10-01,Eskişehir,İç,0
2022-10-01,Gaziantep,İç,185534
2022-10-01,Gökçeada,İç,0
2022-10-01,Hakkari Yüksekova,İç,9793
2022-10-01,Hatay,İç,75995
2022-10-01,Isparta,İç,4367
2022-10-01,Iğdır,İç,15707
2022-10-01,Kahramanmaraş,İç,14777
2022-10-01,Kars,İç,31209
2022-10-01,Kastamonu,İç,2992
2022-10-01,Kayseri,İç,171281
2022-10-01,Kocaeli,İç,0
2022-10-01,Konya,İç,55949
2022-10-01,Malatya,İç,56707
2022-10-01,Mardin,İç,47018
2022-10-01,Muğla Dalaman,İç,138540
2022-10-01,Muğla Milas-Bodrum,İç,162177
2022-10-01,Muş,İç,25099
2022-10-01,Nevşehir Kapadokya,İç,42757
2022-10-01,Ordu-Giresun,İç,69144
2022-10-01,Rize-Artvin,İç,63393
2022-10-01,Samsun Çarşamba,İç,78856
2022-10-01,Siirt,İç,4105
2022-10-01,Sinop,İç,5088
2022-10-01,Sivas,İç,30570
2022-10-01,Tekirdağ Çorlu,İç,2706
2022-10-01,Tokat,İç,8673
2022-10-01,Trabzon,İç,186117
2022-10-01,Uşak,İç,0
2022-10-01,Van,İç,112603
