Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2022-09-12,22,Moderate or heavy rain shower,67,16,3.9
2022-09-13,21,Heavy rain at times,58,11,4.6
2022-09-14,23,Sunny,52,9,0.0
2022-09-15,24,Sunny,45,13,0.0
2022-09-16,26,Sunny,48,14,0.0
2022-09-17,26,Sunny,49,11,0.0
2022-09-18,24,Moderate or heavy rain shower,55,15,10.1
2022-09-19,21,Partly cloudy,61,20,0.0
2022-09-20,20,Patchy rain possible,57,18,0.3
2022-09-21,20,Patchy rain possible,49,18,1.6
2022-09-22,16,Moderate or heavy rain shower,63,20,19.7
2022-09-23,17,Moderate or heavy rain shower,57,13,4.7
2022-09-24,18,Sunny,49,7,0.1
2022-09-25,19,Overcast,41,9,0.0
2022-09-26,20,Partly cloudy,42,10,0.0
2022-09-27,22,Patchy rain possible,51,16,1.1
2022-09-28,22,Patchy rain possible,72,17,0.1
2022-09-29,24,Sunny,63,12,0.0
2022-09-30,24,Sunny,60,9,0.0
2022-10-01,23,Sunny,62,8,0.0
2022-10-02,22,Heavy rain at times,61,15,2.9
2022-10-03,20,Sunny,53,16,0.6
2022-10-04,18,Heavy rain at times,55,16,1.9
2022-10-05,18,Patchy rain possible,54,22,1.1
2022-10-06,19,Partly cloudy,58,26,0.0
2022-10-07,19,Patchy rain possible,62,30,4.0
2022-10-08,20,Patchy rain possible,64,22,2.4
2022-10-09,19,Patchy rain possible,66,11,0.1
2022-10-10,19,Patchy rain possible,67,18,0.1
2022-10-11,19,Cloudy,64,24,0.0
2022-10-12,19,Cloudy,59,23,0.0
2022-10-13,19,Partly cloudy,59,24,0.0
2022-10-14,18,Overcast,63,27,0.3
2022-10-15,17,Patchy rain possible,73,31,3.0
2022-10-16,17,Patchy rain possible,67,27,0.9
2022-10-17,18,Patchy rain possible,71,26,0.8
2022-10-18,18,Patchy rain possible,74,25,0.8
2022-10-19,17,Patchy rain possible,80,15,0.4
2022-10-20,16,Patchy rain possible,70,18,0.7
2022-10-21,15,Sunny,53,22,0.0
2022-10-22,15,Partly cloudy,48,8,0.0
2022-10-23,17,Sunny,54,11,0.0
2022-10-24,17,Sunny,66,10,0.0
2022-10-25,18,Sunny,51,4,0.0
2022-10-26,18,Sunny,63,12,0.0
2022-10-27,18,Sunny,73,17,0.0
2022-10-28,17,Sunny,68,24,0.1
2022-10-29,16,Cloudy,64,23,0.0
2022-10-30,16,Sunny,68,13,0.0
2022-10-31,16,Patchy rain possible,70,10,0.2
2022-11-01,17,Sunny,68,14,0.0
2022-11-02,16,Sunny,65,9,0.0
2022-11-03,17,Overcast,64,11,0.0
2022-11-04,17,Sunny,69,9,0.0
2022-11-05,18,Sunny,52,6,0.0
2022-11-06,18,Overcast,59,8,0.0
2022-11-07,16,Overcast,72,19,0.0
2022-11-08,14,Partly cloudy,66,14,0.0
2022-11-09,14,Sunny,66,14,0.0
2022-11-10,14,Sunny,67,14,0.0
