Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm),Monthly Tourists,TR_YoY_Inflation (%)
2023-05-01,15.516129032258064,75.64516129032258,15.64516129032258,65.0,1505948.0,47.37321591254175
2023-06-01,21.23333333333333,68.4,15.8,21.3,1627057.0,55.82893966022262
2023-07-01,25.90322580645161,54.12903225806452,15.225806451612904,38.6,1873097.0,64.30401366353544
2023-08-01,25.90322580645161,62.483870967741936,20.193548387096776,1.8,1747611.0,68.95116537180911
2023-09-01,23.1,61.4,20.1,47.0,1631963.0,69.48697287134031
2023-10-01,19.225806451612904,64.51612903225806,14.903225806451612,36.3,1606505.0,70.05263157894738
2023-11-01,15.533333333333331,68.0,20.2,272.7,1288610.0,70.3016241299304
2023-12-01,11.290322580645162,73.80645161290323,17.483870967741936,116.6,1318706.0,70.29
2024-01-01,8.161290322580646,72.93548387096774,21.41935483870968,107.4,1165996.0,70.48
2024-02-01,9.758620689655173,71.34482758620689,15.06896551724138,23.5,1291522.0,72.89
2024-03-01,10.35483870967742,68.80645161290323,11.193548387096774,66.2,1309200.0,75.21
2024-04-01,14.933333333333334,67.06666666666666,14.066666666666666,56.2,1478218.0,75.81
2024-05-01,15.903225806451612,69.3225806451613,14.483870967741936,61.0,1678832.0,74.98
2024-06-01,23.933333333333337,59.43333333333333,17.5,9.000000000000002,1638399.0,71.41
2024-07-01,26.580645161290324,60.12903225806452,18.06451612903226,21.8,1905146.0,60.23
2024-08-01,25.93548387096774,58.87096774193548,16.870967741935484,7.2, 1278527.0,51.56
2024-09-01,22.9,64.23333333333333,13.233333333333333,85.3,1100202.0 ,49.1
2024-10-01,17.93548387096774,63.096774193548384,15.709677419354838,11.2,1244185.0,47.75
2024-11-01,12.466666666666669,66.43333333333334,17.533333333333335,67.89999999999999,841971.0,47.13
2024-12-01,10.290322580645162,72.93548387096774,16.032258064516128,126.9,974839.0,45.34
