tarih,uyruk,ziyaretci_sayisi
2023-12-01,Letonya,1952
2023-12-01,Bangladeş,1793
2023-12-01,Etiyopya,1785
2023-12-01,Venezuela,1778
2023-12-01,Karadağ,1650
2023-12-01,Arjantin,1566
2023-12-01,Estonya,1505
2023-12-01,Mauritius,1505
2023-12-01,Nijerya,1330
2023-12-01,Hong Kong,1288
2023-12-01,Eritre,1148
2023-12-01,Senegal,1037
2023-12-01,Ermenistan,996
2023-12-01,Malta,975
2023-12-01,Yeni Zelanda,945
2023-12-01,Sudan,899
2023-12-01,Dominika,800
2023-12-01,Peru,789
2023-12-01,Saint Kitts,741
2023-12-01,Sri Lanka,725
2023-12-01,Kenya,596
2023-12-01,Küba,586
2023-12-01,Demokratik Kongo Cumhuriyeti,571
2023-12-01,Güney Kıbrıs,557
2023-12-01,Şili,552
2023-12-01,Ekvador,552
2023-12-01,Brunei,549
2023-12-01,Nepal,512
2023-12-01,Somali,475
2023-12-01,Fildişi Sahili,447
2023-12-01,Uganda,447
2023-12-01,Tanzanya,447
2023-12-01,Lüksemburg,433
2023-12-01,Gine,411
2023-12-01,Vietnam,401
2023-12-01,Çad,396
2023-12-01,Maldivler,384
2023-12-01,Panama,381
2023-12-01,Kosta Rika,367
2023-12-01,Kamerun,344
2023-12-01,Gabon,313
2023-12-01,Bolivya,306
2023-12-01,Gana,305
2023-12-01,Guatemala,294
2023-12-01,Mali,287
2023-12-01,Birleşmiş Milletler,282
2023-12-01,Moritanya,271
2023-12-01,Cibuti,252
2023-12-01,Burkina Faso,220
2023-12-01,Dominik Cumhuriyeti,191
2023-12-01,Angola,177
2023-12-01,Sierra Leone,176
2023-12-01,Honduras,170
2023-12-01,Nijer,155
2023-12-01,Kongo Cumhuriyeti,127
2023-12-01,Gambiya,120
2023-12-01,Zimbabve,115
2023-12-01,Seyşeller,115
2023-12-01,Trinidad ve Tobago,111
2023-12-01,Uruguay,104
2023-12-01,Jamaika,100
2023-12-01,Lihtenştayn,98
2023-12-01,İzlanda,96
2023-12-01,Güney Sudan,93
2023-12-01,El Salvador,91
2023-12-01,Ruanda,79
2023-12-01,Mozambik,67
2023-12-01,Benin,64
2023-12-01,Komorlar,63
2023-12-01,Antigua ve Barbuda,62
2023-12-01,Grenada,62
2023-12-01,Nikaragua,61
2023-12-01,Myanmar,59
2023-12-01,Paraguay,58
2023-12-01,Haiti,58
2023-12-01,Andorra,54
2023-12-01,Zambiya,45
2023-12-01,Makao,41
2023-12-01,Botsvana,36
2023-12-01,Togo,33
2023-12-01,Fiji,30
2023-12-01,Vanuatu,28
2023-12-01,Ekvator Ginesi,25
2023-12-01,Belize,24
2023-12-01,Barbados,23
2023-12-01,Bahama Adaları,22
2023-12-01,Madagaskar,21
2023-12-01,Saint Lucia,20
2023-12-01,Namibya,19
2023-12-01,Burundi,18
2023-12-01,Liberya,18
2023-12-01,San Marino,18
2023-12-01,Kamboçya,17
2023-12-01,Yeşil Burun Adaları,15
2023-12-01,Surinam,12
2023-12-01,Gine Bissau,11
2023-12-01,Monako,10
2023-12-01,Malavi,8
2023-12-01,Avrupa Birliği,6
2023-12-01,Orta Afrika Cumhuriyeti,5
2023-12-01,Bhutan,4
2023-12-01,Esvatini,2
2023-12-01,Laos,2
2023-12-01,Somaliland,2
2023-12-01,Vatikan,2
2023-12-01,Lesotho,1
2023-12-01,Guyana,1
2023-12-01,Saint Vincent,1
2023-12-01,Kuzey Kore,1
2023-12-01,Tonga,1
2023-12-01,Sao Tome,0
2023-12-01,Doğu Timor,0
2023-12-01,Papua Yeni Gine,0
2023-11-01,Rusya,135696
2023-11-01,Almanya,89810
2023-11-01,İran,88727
2023-11-01,ABD,61566
2023-11-01,Birleşik Krallık,51371
2023-11-01,Suudi Arabistan,48403
2023-11-01,Fransa,43442
2023-11-01,İtalya,36842
2023-11-01,Özbekistan,30214
2023-11-01,Azerbaycan,27113
2023-11-01,Irak,26369
